ORDERNUMBER,ORDERDATE,SALES,COUNTRY,STATUS
10145,8/25/2003 0:00,5176.38,USA,Shipped
10180,11-11-2003 00:00,8892.9,France,Shipped
10188,11/18/2003 0:00,8714.7,Norway,Shipped
10201,12-01-2003 00:00,8065.89,USA,Shipped
10210,01-12-2004 00:00,6123.4,Japan,Shipped
10223,2/20/2004 0:00,9774.03,Australia,Shipped
10237,04-05-2004 00:00,7023.9,USA,Shipped
10251,5/18/2004 0:00,7078.23,USA,Shipped
10263,6/28/2004 0:00,8336.94,USA,Shipped
10275,7/23/2004 0:00,6901.92,France,Shipped
10285,8/27/2004 0:00,5438.07,USA,Shipped
10299,9/30/2004 0:00,6683.34,Finland,Shipped
10318,11-02-2004 00:00,7667.14,USA,Shipped
10329,11/15/2004 0:00,5868.2,USA,Shipped
10403,04-08-2005 00:00,11886.6,UK,Shipped
10417,5/13/2005 0:00,9218.16,Spain,Disputed
10105,02-11-2003 00:00,7208.0,Denmark,Shipped
10119,4/28/2003 0:00,5004.8,Austria,Shipped
10143,08-10-2003 00:00,5597.76,USA,Shipped
10167,10/23/2003 0:00,5924.16,Sweden,Cancelled
10197,11/26/2003 0:00,5324.4,Spain,Shipped
10209,01-09-2004 00:00,5197.92,USA,Shipped
10222,2/19/2004 0:00,5997.6,USA,Shipped
10400,04-01-2005 00:00,9661.44,USA,Shipped
10103,1/29/2003 0:00,5398.26,Norway,Shipped
10175,11-06-2003 00:00,5362.83,UK,Shipped
10217,02-04-2004 00:00,7020.48,Singapore,Shipped
10229,03-11-2004 00:00,6426.5,USA,Shipped
10281,8/19/2004 0:00,7020.64,USA,Shipped
10305,10/13/2004 0:00,6680.78,USA,Shipped
10313,10/22/2004 0:00,6678.0,Canada,Shipped
10357,12-10-2004 00:00,5780.92,USA,Shipped
10381,2/17/2005 0:00,6231.54,USA,Shipped
10425,5/31/2005 0:00,5894.94,France,In Process
10108,03-03-2003 00:00,5265.15,Philippines,Shipped
10122,05-08-2003 00:00,7599.9,France,Shipped
10135,07-02-2003 00:00,8008.56,USA,Shipped
10147,09-05-2003 00:00,9245.76,USA,Shipped
10159,10-10-2003 00:00,8296.35,USA,Shipped
10169,11-04-2003 00:00,5019.9,Australia,Shipped
10181,11-12-2003 00:00,5411.07,Norway,Shipped
10211,1/15/2004 0:00,7498.9,France,Shipped
10238,04-09-2004 00:00,5774.72,Denmark,Shipped
10266,07-06-2004 00:00,9160.36,Italy,Shipped
10276,08-02-2004 00:00,9631.0,USA,Shipped
10300,10-04-2003 00:00,5521.89,Germany,Shipped
10310,10/16/2004 0:00,6934.62,Germany,Shipped
10320,11-03-2004 00:00,6876.11,Sweden,Shipped
10105,02-11-2003 00:00,8690.36,Denmark,Shipped
10117,4/16/2003 0:00,6034.38,Singapore,Shipped
10127,06-03-2003 00:00,11279.2,USA,Shipped
10142,08-08-2003 00:00,8023.29,USA,Shipped
10165,10/22/2003 0:00,8594.52,Singapore,Shipped
10176,11-06-2003 00:00,7474.5,Italy,Shipped
10196,11/26/2003 0:00,8887.7,USA,Shipped
10208,01-02-2004 00:00,8602.92,France,Shipped
10220,02-12-2004 00:00,7181.44,Ireland,Shipped
10231,3/19/2004 0:00,8378.58,Spain,Shipped
10247,05-05-2004 00:00,10606.2,Finland,Shipped
10272,7/20/2004 0:00,5818.4,USA,Shipped
10282,8/20/2004 0:00,7071.27,USA,Shipped
10293,09-09-2004 00:00,8411.56,Italy,Shipped
10306,10/14/2004 0:00,6570.76,UK,Shipped
10314,10/22/2004 0:00,7975.44,Denmark,Shipped
10413,05-05-2005 00:00,8677.8,USA,Shipped
10164,10/21/2003 0:00,6563.06,Austria,Resolved
10174,11-06-2003 00:00,6817.22,Australia,Shipped
10183,11/13/2003 0:00,6163.94,USA,Shipped
10216,02-02-2004 00:00,5759.42,France,Shipped
10245,05-04-2004 00:00,5920.4,USA,Shipped
10258,6/15/2004 0:00,6668.24,Japan,Shipped
10291,09-08-2004 00:00,6387.8,Sweden,Shipped
10304,10-11-2004 00:00,6396.0,France,Shipped
10357,12-10-2004 00:00,5960.36,USA,Shipped
10370,1/20/2005 0:00,8470.14,Australia,Shipped
10411,05-01-2005 00:00,6232.0,Canada,Shipped
10424,5/31/2005 0:00,7969.36,Spain,In Process
10121,05-07-2003 00:00,8284.0,France,Shipped
10145,8/25/2003 0:00,8339.8,USA,Shipped
10159,10-10-2003 00:00,6238.84,USA,Shipped
10180,11-11-2003 00:00,6747.6,France,Shipped
10224,2/21/2004 0:00,6087.94,France,Shipped
10251,5/18/2004 0:00,7552.28,USA,Shipped
10263,6/28/2004 0:00,6434.4,USA,Shipped
10276,08-02-2004 00:00,5181.5,USA,Shipped
10285,8/27/2004 0:00,6863.92,USA,Shipped
10341,11/24/2004 0:00,8118.55,Austria,Shipped
10388,03-03-2005 00:00,5951.44,USA,Shipped
10403,04-08-2005 00:00,8648.64,UK,Shipped
10104,1/31/2003 0:00,5958.5,Spain,Shipped
10117,4/16/2003 0:00,5911.64,Singapore,Shipped
10127,06-03-2003 00:00,7366.44,USA,Shipped
10153,9/28/2003 0:00,5393.64,Spain,Shipped
10176,11-06-2003 00:00,8378.69,Italy,Shipped
10230,3/15/2004 0:00,7016.31,Germany,Shipped
10314,10/22/2004 0:00,6393.54,Denmark,Shipped
10372,1/26/2005 0:00,5862.0,Japan,Shipped
10413,05-05-2005 00:00,8236.75,USA,Shipped
10108,03-03-2003 00:00,6130.35,Philippines,Shipped
10135,07-02-2003 00:00,6031.68,USA,Shipped
10160,10-11-2003 00:00,5294.14,USA,Shipped
10170,11-04-2003 00:00,5464.69,Austria,Shipped
10191,11/20/2003 0:00,5590.0,Germany,Shipped
10276,08-02-2004 00:00,5464.69,USA,Shipped
10117,4/16/2003 0:00,5938.14,Singapore,Shipped
10127,06-03-2003 00:00,8138.76,USA,Shipped
10142,08-08-2003 00:00,9470.94,USA,Shipped
10153,9/28/2003 0:00,7036.89,Spain,Shipped
10165,10/22/2003 0:00,5559.03,Singapore,Shipped
10176,11-06-2003 00:00,7872.5,Italy,Shipped
10185,11/14/2003 0:00,7886.2,USA,Shipped
10196,11/26/2003 0:00,7232.16,USA,Shipped
10220,02-12-2004 00:00,5045.22,Ireland,Shipped
10231,3/19/2004 0:00,6952.12,Spain,Shipped
10272,7/20/2004 0:00,7962.24,USA,Shipped
10293,09-09-2004 00:00,8253.0,Italy,Shipped
10314,10/22/2004 0:00,6913.8,Denmark,Shipped
10372,1/26/2005 0:00,5941.5,Japan,Shipped
10396,3/23/2005 0:00,6109.29,USA,Shipped
10115,04-04-2003 00:00,5723.78,USA,Shipped
10165,10/22/2003 0:00,6825.6,Singapore,Shipped
10195,11/25/2003 0:00,6445.46,USA,Shipped
10246,05-05-2004 00:00,5069.66,Spain,Shipped
10259,6/15/2004 0:00,6541.2,Singapore,Shipped
10281,8/19/2004 0:00,5247.18,USA,Shipped
10314,10/22/2004 0:00,6185.7,Denmark,Shipped
10336,11/20/2004 0:00,6372.6,France,Shipped
10349,12-01-2004 00:00,5232.96,USA,Shipped
10412,05-03-2005 00:00,5951.34,Spain,Shipped
10160,10-11-2003 00:00,5182.0,USA,Shipped
10203,12-02-2003 00:00,5195.85,Spain,Shipped
10377,02-09-2005 00:00,5182.0,Finland,Shipped
10389,03-03-2005 00:00,5243.79,Sweden,Shipped
10405,4/14/2005 0:00,9048.16,France,Shipped
10215,1/29/2004 0:00,5152.0,USA,Shipped
10258,6/15/2004 0:00,5453.0,Japan,Shipped
10424,5/31/2005 0:00,7182.0,Spain,In Process
10122,05-08-2003 00:00,5004.8,France,Shipped
10181,11-12-2003 00:00,5418.16,Norway,Shipped
10204,12-02-2003 00:00,6182.4,USA,Shipped
10240,4/13/2004 0:00,5628.89,Japan,Shipped
10287,8/30/2004 0:00,6499.32,Switzerland,Shipped
10301,10-05-2003 00:00,5917.78,Norway,Shipped
10310,10/16/2004 0:00,6231.91,Germany,Shipped
10321,11-04-2004 00:00,5803.14,USA,Shipped
10331,11/17/2004 0:00,6434.02,USA,Shipped
10342,11/24/2004 0:00,6454.4,Australia,Shipped
10377,02-09-2005 00:00,5895.05,Finland,Shipped
10406,4/15/2005 0:00,8374.69,Denmark,Disputed
10149,09-12-2003 00:00,5907.5,USA,Shipped
10173,11-05-2003 00:00,5036.16,Italy,Shipped
10280,8/17/2004 0:00,5239.5,Italy,Shipped
10369,1/20/2005 0:00,9240.44,USA,Shipped
10391,03-09-2005 00:00,5548.9,Australia,Shipped
10110,3/18/2003 0:00,5433.08,UK,Shipped
10148,09-11-2003 00:00,5848.68,Australia,Shipped
10161,10/17/2003 0:00,6153.73,Denmark,Shipped
10181,11-12-2003 00:00,5435.64,Norway,Shipped
10266,07-06-2004 00:00,5196.6,Italy,Shipped
10343,11/24/2004 0:00,5848.92,France,Shipped
10407,4/22/2005 0:00,7048.14,USA,On Hold
10419,5/17/2005 0:00,5202.94,Austria,Shipped
10106,2/17/2003 0:00,5279.4,Italy,Shipped
10119,4/28/2003 0:00,6916.12,Austria,Shipped
10143,08-10-2003 00:00,5248.0,USA,Shipped
10155,10-06-2003 00:00,6531.44,Finland,Shipped
10167,10/23/2003 0:00,5763.72,Sweden,Cancelled
10178,11-08-2003 00:00,6490.68,France,Shipped
10186,11/14/2003 0:00,6004.8,UK,Shipped
10198,11/27/2003 0:00,7483.98,Philippines,Shipped
10210,01-12-2004 00:00,5719.5,Japan,Shipped
10222,2/19/2004 0:00,6954.08,USA,Shipped
10250,05-11-2004 00:00,8160.3,USA,Shipped
10262,6/24/2004 0:00,6567.96,Spain,Cancelled
10274,7/21/2004 0:00,6724.0,USA,Shipped
10284,8/21/2004 0:00,5747.85,Norway,Shipped
10296,9/15/2004 0:00,5676.84,Germany,Shipped
10307,10/14/2004 0:00,7379.97,USA,Shipped
10338,11/22/2004 0:00,5624.79,Belgium,Shipped
10400,04-01-2005 00:00,6433.82,USA,Shipped
10100,01-06-2003 00:00,5151.0,USA,Shipped
10110,3/18/2003 0:00,6069.0,UK,Shipped
10149,09-12-2003 00:00,5375.4,USA,Shipped
10162,10/18/2003 0:00,5176.5,USA,Shipped
10182,11-12-2003 00:00,7554.8,USA,Shipped
10204,12-02-2003 00:00,5890.5,USA,Shipped
10214,1/26/2004 0:00,5967.0,Spain,Shipped
10241,4/13/2004 0:00,7597.3,France,Shipped
10288,09-01-2004 00:00,5875.2,Singapore,Shipped
10302,10-06-2003 00:00,7310.0,UK,Shipped
10312,10/21/2004 0:00,8078.4,USA,Shipped
10344,11/25/2004 0:00,7650.0,France,Shipped
10379,02-10-2005 00:00,5399.55,Spain,Shipped
10407,4/22/2005 0:00,14082.8,USA,On Hold
10420,5/29/2005 0:00,5283.6,Australia,In Process
10136,07-04-2003 00:00,5274.72,France,Shipped
10161,10/17/2003 0:00,6145.44,Denmark,Shipped
10192,11/20/2003 0:00,7421.3,USA,Shipped
10204,12-02-2003 00:00,6432.64,USA,Shipped
10240,4/13/2004 0:00,5526.32,Japan,Shipped
10266,07-06-2004 00:00,6203.4,Italy,Shipped
10301,10-05-2003 00:00,7488.04,Norway,Shipped
10406,4/15/2005 0:00,7169.28,Denmark,Disputed
10115,04-04-2003 00:00,7381.16,USA,Shipped
10127,06-03-2003 00:00,7146.9,USA,Shipped
10141,08-01-2003 00:00,5938.53,Finland,Shipped
10151,9/21/2003 0:00,7110.91,Finland,Shipped
10165,10/22/2003 0:00,5032.95,Singapore,Shipped
10184,11/14/2003 0:00,7381.16,Spain,Shipped
10195,11/25/2003 0:00,5128.11,USA,Shipped
10207,12-09-2003 00:00,7060.24,USA,Shipped
10219,02-10-2004 00:00,8448.64,USA,Shipped
10230,3/15/2004 0:00,7300.51,Germany,Shipped
10246,05-05-2004 00:00,6549.2,Spain,Shipped
10259,6/15/2004 0:00,5697.9,Singapore,Shipped
10271,7/20/2004 0:00,9169.0,USA,Shipped
10314,10/22/2004 0:00,5776.26,Denmark,Shipped
10324,11-05-2004 00:00,7207.45,USA,Shipped
10336,11/20/2004 0:00,7460.74,France,Shipped
10349,12-01-2004 00:00,6719.54,USA,Shipped
10412,05-03-2005 00:00,6712.93,Spain,Shipped
10425,5/31/2005 0:00,5318.04,France,In Process
10367,01-12-2005 00:00,8884.8,USA,Resolved
10127,06-03-2003 00:00,6295.95,USA,Shipped
10141,08-01-2003 00:00,6287.66,Finland,Shipped
10151,9/21/2003 0:00,5412.54,Finland,Shipped
10165,10/22/2003 0:00,5984.14,Singapore,Shipped
10175,11-06-2003 00:00,5891.04,UK,Shipped
10184,11/14/2003 0:00,5984.14,Spain,Shipped
10207,12-09-2003 00:00,5752.54,USA,Shipped
10271,7/20/2004 0:00,5093.5,USA,Shipped
10281,8/19/2004 0:00,5773.44,USA,Shipped
10334,11/19/2004 0:00,5814.86,Sweden,On Hold
10349,12-01-2004 00:00,5223.48,USA,Shipped
10412,05-03-2005 00:00,5498.08,Spain,Shipped
10227,03-02-2004 00:00,7017.76,France,Shipped
10243,4/26/2004 0:00,6154.18,USA,Shipped
10322,11-04-2004 00:00,12536.5,USA,Shipped
10347,11/29/2004 0:00,6834.5,Australia,Shipped
10329,11/15/2004 0:00,5266.04,USA,Shipped
10389,03-03-2005 00:00,6981.0,Sweden,Shipped
10110,3/18/2003 0:00,5074.39,UK,Shipped
10125,5/21/2003 0:00,6483.46,Australia,Shipped
10139,7/16/2003 0:00,7956.46,Australia,Shipped
10162,10/18/2003 0:00,7209.12,USA,Shipped
10205,12-03-2003 00:00,7492.4,Spain,Shipped
10214,1/26/2004 0:00,9534.5,Spain,Shipped
10227,03-02-2004 00:00,5579.02,France,Shipped
10244,4/29/2004 0:00,5950.34,Spain,Shipped
10289,09-03-2004 00:00,8272.34,Norway,Shipped
10322,11-04-2004 00:00,5797.44,USA,Shipped
10421,5/29/2005 0:00,5433.75,USA,In Process
10123,5/20/2003 0:00,5161.2,France,Shipped
10172,11-05-2003 00:00,6023.16,USA,Shipped
10241,4/13/2004 0:00,6853.44,France,Shipped
10253,06-01-2004 00:00,5177.04,UK,Cancelled
10287,8/30/2004 0:00,5052.96,Switzerland,Shipped
10311,10/16/2004 0:00,5278.68,Spain,Shipped
10366,01-10-2005 00:00,6144.6,Belgium,Shipped
10379,02-10-2005 00:00,5127.2,Spain,Shipped
10407,4/22/2005 0:00,6386.16,USA,On Hold
10419,5/17/2005 0:00,7695.6,Austria,Shipped
10139,7/16/2003 0:00,5545.76,Australia,Shipped
10174,11-06-2003 00:00,5592.22,Australia,Shipped
10215,1/29/2004 0:00,5510.05,USA,Shipped
10280,8/17/2004 0:00,5126.24,Italy,Shipped
10291,09-08-2004 00:00,5713.79,Sweden,Shipped
10215,1/29/2004 0:00,5285.14,USA,Shipped
10357,12-10-2004 00:00,5160.76,USA,Shipped
10128,06-06-2003 00:00,5544.02,Spain,Shipped
10142,08-08-2003 00:00,6034.33,USA,Shipped
10166,10/21/2003 0:00,6930.74,USA,Shipped
10196,11/26/2003 0:00,6893.81,USA,Shipped
10273,7/21/2004 0:00,5026.4,Belgium,Shipped
10282,8/20/2004 0:00,6695.53,USA,Shipped
10336,11/20/2004 0:00,5778.24,France,Shipped
10350,12-02-2004 00:00,5191.12,Spain,Shipped
10396,3/23/2005 0:00,5273.73,USA,Shipped
10109,03-10-2003 00:00,8257.0,USA,Shipped
10114,04-01-2003 00:00,8209.44,France,Shipped
10136,07-04-2003 00:00,8331.61,France,Shipped
10148,09-11-2003 00:00,5418.88,Australia,Shipped
10165,10/22/2003 0:00,8754.69,Singapore,Shipped
10171,11-05-2003 00:00,5481.45,Canada,Shipped
10181,11-12-2003 00:00,6324.75,Norway,Shipped
10195,11/25/2003 0:00,7620.5,USA,Shipped
10203,12-02-2003 00:00,8291.04,Spain,Shipped
10212,1/16/2004 0:00,5554.4,Spain,Shipped
10225,2/22/2004 0:00,6407.86,Switzerland,Shipped
10239,04-12-2004 00:00,7083.37,Finland,Shipped
10246,05-05-2004 00:00,7132.68,Spain,Shipped
10253,06-01-2004 00:00,6773.6,UK,Cancelled
10278,08-06-2004 00:00,6401.22,USA,Shipped
10287,8/30/2004 0:00,5852.52,Switzerland,Shipped
10305,10/13/2004 0:00,7455.87,USA,Shipped
10310,10/16/2004 0:00,8940.96,Germany,Shipped
10321,11-04-2004 00:00,5700.09,USA,Shipped
10342,11/24/2004 0:00,5029.5,Australia,Shipped
10349,12-01-2004 00:00,7396.8,USA,Shipped
10366,01-10-2005 00:00,6275.72,Belgium,Shipped
10377,02-09-2005 00:00,7264.53,Finland,Shipped
10383,2/22/2005 0:00,6869.05,Spain,Shipped
10405,4/14/2005 0:00,8289.05,France,Shipped
10412,05-03-2005 00:00,11887.8,Spain,Shipped
10419,5/17/2005 0:00,5926.9,Austria,Shipped
10165,10/22/2003 0:00,5344.5,Singapore,Shipped
10208,01-02-2004 00:00,5614.56,France,Shipped
10248,05-07-2004 00:00,5082.42,USA,Cancelled
10273,7/21/2004 0:00,5450.59,Belgium,Shipped
10414,05-06-2005 00:00,5808.48,USA,On Hold
10390,03-04-2005 00:00,5491.6,USA,Shipped
10333,11/18/2004 0:00,11336.7,USA,Shipped
10382,2/17/2005 0:00,8935.5,USA,Shipped
10135,07-02-2003 00:00,5432.7,USA,Shipped
10203,12-02-2003 00:00,5127.04,Spain,Shipped
10238,04-09-2004 00:00,6554.24,Denmark,Shipped
10252,5/26/2004 0:00,6749.83,France,Shipped
10265,07-02-2004 00:00,8427.02,Australia,Shipped
10287,8/30/2004 0:00,6761.6,Switzerland,Shipped
10310,10/16/2004 0:00,6266.12,Germany,Shipped
10342,11/24/2004 0:00,6548.3,Australia,Shipped
10390,03-04-2005 00:00,7397.0,USA,Shipped
10109,03-10-2003 00:00,6241.6,USA,Shipped
10123,5/20/2003 0:00,5331.88,France,Shipped
10137,07-10-2003 00:00,5124.3,France,Shipped
10161,10/17/2003 0:00,5544.0,Denmark,Shipped
10172,11-05-2003 00:00,5493.12,USA,Shipped
10181,11-12-2003 00:00,5785.26,Norway,Shipped
10192,11/20/2003 0:00,5340.6,USA,Shipped
10204,12-02-2003 00:00,5735.8,USA,Shipped
10212,1/16/2004 0:00,6357.6,Spain,Shipped
10226,2/26/2004 0:00,7343.9,USA,Shipped
10240,4/13/2004 0:00,5959.22,Japan,Shipped
10266,07-06-2004 00:00,5035.14,Italy,Shipped
10301,10-05-2003 00:00,6446.7,Norway,Shipped
10406,4/15/2005 0:00,10468.9,Denmark,Disputed
10419,5/17/2005 0:00,5589.14,Austria,Shipped
10390,03-04-2005 00:00,5079.96,USA,Shipped
10178,11-08-2003 00:00,5386.56,France,Shipped
10249,05-08-2004 00:00,5600.5,USA,Shipped
10283,8/20/2004 0:00,5795.54,Canada,Shipped
10338,11/22/2004 0:00,5526.45,Belgium,Shipped
10400,04-01-2005 00:00,7307.42,USA,Shipped
10415,05-09-2005 00:00,6209.25,Australia,Disputed
10104,1/31/2003 0:00,5348.5,Spain,Shipped
10176,11-06-2003 00:00,5532.12,Italy,Shipped
10185,11/14/2003 0:00,5096.91,USA,Shipped
10207,12-09-2003 00:00,6146.8,USA,Shipped
10220,02-12-2004 00:00,8258.0,Ireland,Shipped
10230,3/15/2004 0:00,7238.28,Germany,Shipped
10247,05-05-2004 00:00,6756.0,Finland,Shipped
10292,09-08-2004 00:00,7140.76,USA,Shipped
10324,11-05-2004 00:00,5379.71,USA,Shipped
10337,11/21/2004 0:00,5679.36,USA,Shipped
10372,1/26/2005 0:00,7031.52,Japan,Shipped
10383,2/22/2005 0:00,5340.9,Spain,Shipped
10394,3/15/2005 0:00,6376.58,Spain,Shipped
10413,05-05-2005 00:00,6896.75,USA,Shipped
10332,11/17/2004 0:00,7310.0,UK,Shipped
10420,5/29/2005 0:00,6134.7,Australia,In Process
10197,11/26/2003 0:00,5090.5,Spain,Shipped
10126,5/28/2003 0:00,7083.0,Spain,Shipped
10150,9/19/2003 0:00,6467.02,Singapore,Shipped
10164,10/21/2003 0:00,5012.55,Austria,Resolved
10175,11-06-2003 00:00,5121.59,UK,Shipped
10207,12-09-2003 00:00,6658.02,USA,Shipped
10270,7/19/2004 0:00,5383.08,Australia,Shipped
10291,09-08-2004 00:00,5288.64,Sweden,Shipped
10323,11-05-2004 00:00,6203.06,Germany,Shipped
10334,11/19/2004 0:00,6763.47,Sweden,On Hold
10347,11/29/2004 0:00,5884.65,Australia,Shipped
10411,05-01-2005 00:00,5235.72,Canada,Shipped
10324,11-05-2004 00:00,6832.02,USA,Shipped
10348,11-01-2004 00:00,7110.8,Spain,Shipped
10358,12-10-2004 00:00,5302.8,Spain,Shipped
10382,2/17/2005 0:00,7827.3,USA,Shipped
10108,03-03-2003 00:00,5565.12,Philippines,Shipped
10180,11-11-2003 00:00,5565.12,France,Shipped
10211,1/15/2004 0:00,5673.58,France,Shipped
10225,2/22/2004 0:00,5260.15,Switzerland,Shipped
10238,04-09-2004 00:00,6350.96,Denmark,Shipped
10276,08-02-2004 00:00,5713.92,USA,Shipped
10299,9/30/2004 0:00,7947.31,Finland,Shipped
10310,10/16/2004 0:00,5356.8,Germany,Shipped
10319,11-03-2004 00:00,7901.1,USA,Shipped
10330,11/16/2004 0:00,6101.0,Philippines,Shipped
10342,11/24/2004 0:00,6276.46,Australia,Shipped
10390,03-04-2005 00:00,6862.94,USA,Shipped
10336,11/20/2004 0:00,5972.4,France,Shipped
10159,10-10-2003 00:00,5355.68,USA,Shipped
10168,10/28/2003 0:00,5747.5,USA,Shipped
10180,11-11-2003 00:00,5355.36,France,Shipped
10299,9/30/2004 0:00,5455.76,Finland,Shipped
10318,11-02-2004 00:00,6437.28,USA,Shipped
10403,04-08-2005 00:00,5287.7,UK,Shipped
10168,10/28/2003 0:00,6433.7,USA,Shipped
10398,3/30/2005 0:00,5552.16,France,Shipped
10356,12-09-2004 00:00,9720.0,France,Shipped
10391,03-09-2005 00:00,8344.71,Australia,Shipped
10402,04-07-2005 00:00,5168.4,France,Shipped
10105,02-11-2003 00:00,6341.21,Denmark,Shipped
10117,4/16/2003 0:00,5189.78,Singapore,Shipped
10129,06-12-2003 00:00,6027.75,UK,Shipped
10153,9/28/2003 0:00,5456.4,Spain,Shipped
10177,11-07-2003 00:00,6083.0,Spain,Shipped
10221,2/18/2004 0:00,6804.63,Belgium,Shipped
10232,3/20/2004 0:00,5652.94,UK,Shipped
10248,05-07-2004 00:00,6960.48,USA,Cancelled
10283,8/20/2004 0:00,5316.36,Canada,Shipped
10396,3/23/2005 0:00,5720.75,USA,Shipped
10140,7/24/2003 0:00,5105.14,USA,Shipped
10151,9/21/2003 0:00,5098.8,Finland,Shipped
10194,11/25/2003 0:00,5760.93,France,Shipped
10207,12-09-2003 00:00,6819.04,USA,Shipped
10229,03-11-2004 00:00,5704.32,USA,Shipped
10259,6/15/2004 0:00,5285.62,Singapore,Shipped
10271,7/20/2004 0:00,5605.05,USA,Shipped
10291,09-08-2004 00:00,5398.08,Sweden,Shipped
10313,10/22/2004 0:00,5581.8,Canada,Shipped
10334,11/19/2004 0:00,5528.04,Sweden,On Hold
10348,11-01-2004 00:00,5981.42,Spain,Shipped
10358,12-10-2004 00:00,5684.65,Spain,Shipped
10412,05-03-2005 00:00,8498.0,Spain,Shipped
10425,5/31/2005 0:00,5510.54,France,In Process
10302,10-06-2003 00:00,5298.86,UK,Shipped
10407,4/22/2005 0:00,7182.0,USA,On Hold
10371,1/23/2005 0:00,5545.8,USA,Shipped
10383,2/22/2005 0:00,6089.6,Spain,Shipped
10339,11/23/2004 0:00,6214.45,Japan,Shipped
10110,3/18/2003 0:00,5942.28,UK,Shipped
10279,08-09-2004 00:00,5580.96,Spain,Shipped
10288,09-01-2004 00:00,6539.04,Singapore,Shipped
10302,10-06-2003 00:00,5548.95,UK,Shipped
10407,4/22/2005 0:00,5820.35,USA,On Hold
10420,5/29/2005 0:00,5296.5,Australia,In Process
10367,01-12-2005 00:00,5018.4,USA,Resolved
10378,02-10-2005 00:00,5856.85,Spain,Shipped
10339,11/23/2004 0:00,10758.0,Japan,Shipped
10414,05-06-2005 00:00,6107.4,USA,On Hold
10124,5/21/2003 0:00,5203.0,USA,Shipped
10182,11-12-2003 00:00,6244.07,USA,Shipped
10192,11/20/2003 0:00,5566.0,USA,Shipped
10267,07-07-2004 00:00,5110.98,USA,Shipped
10279,08-09-2004 00:00,6168.0,Spain,Shipped
10108,03-03-2003 00:00,5448.8,Philippines,Shipped
10122,05-08-2003 00:00,5494.97,France,Shipped
10135,07-02-2003 00:00,6336.07,USA,Shipped
10192,11/20/2003 0:00,6319.35,USA,Shipped
10203,12-02-2003 00:00,6996.42,Spain,Shipped
10212,1/16/2004 0:00,6949.67,Spain,Shipped
10253,06-01-2004 00:00,5148.0,UK,Cancelled
10301,10-05-2003 00:00,7723.5,Norway,Shipped
10310,10/16/2004 0:00,5497.65,Germany,Shipped
10342,11/24/2004 0:00,5013.54,Australia,Shipped
10355,12-07-2004 00:00,5302.72,Spain,Shipped
10390,03-04-2005 00:00,6763.05,USA,Shipped
10405,4/14/2005 0:00,11739.7,France,Shipped
10419,5/17/2005 0:00,9240.0,Austria,Shipped
10115,04-04-2003 00:00,5568.64,USA,Shipped
10184,11/14/2003 0:00,5795.72,Spain,Shipped
10220,02-12-2004 00:00,5032.74,Ireland,Shipped
10246,05-05-2004 00:00,6311.2,Spain,Shipped
10325,11-05-2004 00:00,5325.76,Norway,Shipped
10394,3/15/2005 0:00,5207.75,Spain,Shipped
10183,11/13/2003 0:00,5035.11,USA,Shipped
10290,09-07-2004 00:00,5171.4,USA,Shipped
10324,11-05-2004 00:00,6267.69,USA,Shipped
10358,12-10-2004 00:00,6847.0,Spain,Shipped
